"Date","Price","Open","High","Low","Vol.","Change %"
"10/28/2021","431.58","426.61","431.61","426.37","173.30M","1.29%"
"10/27/2021","426.10","431.99","432.42","426.08","154.48M","-1.01%"
"10/26/2021","430.44","429.95","431.86","429.19","125.22M","0.33%"
"10/25/2021","429.03","428.20","430.26","425.77","118.63M","0.29%"
"10/22/2021","427.78","426.29","429.00","426.05","113.05M","0.52%"
"10/21/2021","425.58","424.60","425.71","423.84","116.86M","0.22%"
"10/20/2021","424.64","419.37","424.69","419.03","129.87M","1.49%"
"10/19/2021","418.42","419.35","420.47","418.00","120.06M","0.19%"
"10/18/2021","417.62","415.18","418.96","414.38","137.94M","0.26%"
"10/15/2021","416.53","418.13","419.97","414.63","138.58M","0.04%"
"10/14/2021","416.37","413.50","416.71","412.82","128.19M","1.28%"
"10/13/2021","411.10","407.34","411.36","405.35","140.31M","0.73%"
"10/12/2021","408.14","403.89","409.70","402.86","147.34M","1.35%"
"10/11/2021","402.70","401.67","404.25","400.00","105.07M","0.24%"
"10/08/2021","401.73","405.19","405.39","401.28","125.77M","-0.89%"
"10/07/2021","405.34","406.75","410.03","404.82","147.52M","0.22%"
"10/06/2021","404.46","398.79","404.80","395.04","174.73M","0.98%"
"10/05/2021","400.53","403.24","403.28","399.18","155.04M","-0.68%"
"10/04/2021","403.27","402.37","405.04","400.83","167.63M","-0.04%"
"10/01/2021","403.44","400.60","406.07","398.26","150.43M","1.22%"
"09/30/2021","398.58","406.49","406.49","398.57","173.62M","-1.56%"
"09/29/2021","404.88","403.61","406.74","403.61","141.70M","0.53%"
"09/28/2021","402.76","402.75","404.59","400.21","190.75M","-0.62%"
"09/27/2021","405.27","411.11","413.54","405.04","160.19M","-1.45%"
"09/24/2021","411.23","414.92","416.17","410.45","154.26M","-1.11%"
"09/23/2021","415.86","418.61","419.52","415.59","165.53M","-0.37%"
"09/22/2021","417.40","416.14","419.64","414.43","179.31M","0.92%"
"09/21/2021","413.58","415.57","418.33","413.52","158.40M","-0.01%"
"09/20/2021","413.63","412.03","415.75","408.70","186.92M","-0.47%"
"09/17/2021","415.60","417.95","420.06","415.19","305.55M","-0.95%"
"09/16/2021","419.60","418.61","421.39","416.36","128.58M","0.14%"
"09/15/2021","419.02","418.20","421.05","416.50","145.95M","0.29%"
"09/14/2021","417.79","420.13","420.95","415.95","159.88M","-0.36%"
"09/13/2021","419.28","420.14","422.89","418.13","152.22M","0.47%"
"09/10/2021","417.31","423.00","423.07","417.26","183.42M","-1.30%"
"09/09/2021","422.79","429.14","429.14","422.74","156.14M","-2.01%"
"09/08/2021","431.45","427.64","432.54","426.77","136.51M","0.58%"
"09/07/2021","428.97","432.85","432.85","425.79","149.05M","-1.15%"
"09/03/2021","433.95","432.60","434.54","429.19","136.09M","0.06%"
"09/02/2021","433.70","431.96","433.81","428.94","139.51M","0.53%"
"09/01/2021","431.40","425.65","431.70","425.30","160.54M","1.62%"
"08/31/2021","424.54","421.66","424.90","420.50","175.72M","0.53%"
"08/30/2021","422.32","418.07","422.45","417.38","126.78M","1.05%"
"08/27/2021","417.95","415.70","419.16","415.33","115.52M","0.95%"
"08/26/2021","414.03","414.28","415.34","412.54","118.00M","0.01%"
"08/25/2021","414.00","414.03","416.33","412.58","131.46M","-0.09%"
"08/24/2021","414.37","417.12","417.12","412.94","137.82M","-0.45%"
"08/23/2021","416.24","417.92","418.74","415.46","120.88M","-0.27%"
"08/20/2021","417.35","414.64","418.92","412.44","135.19M","0.49%"
"08/19/2021","415.31","411.24","415.71","410.49","158.23M","0.60%"
